temperature[F],precipitation[cm/hour],wind[km/hour],j,d_j
29.7,11.85,4.77,3,107
29.7,11.85,4.77,4,108
29.7,11.85,4.77,5,158
29.7,11.85,4.77,6,143
29.7,11.85,4.77,7,103
29.7,11.85,4.77,8,177
29.7,11.85,4.77,9,188
29.7,11.85,4.77,10,121
76.1,55.58,3.39,1,165
76.1,55.58,3.39,2,143
76.1,55.58,3.39,3,122
76.1,55.58,3.39,4,125
76.1,55.58,3.39,5,165
76.1,55.58,3.39,6,154
76.1,55.58,3.39,7,105
76.1,55.58,3.39,8,195
76.1,55.58,3.39,9,207
76.1,55.58,3.39,10,135
24.9,58.54,1.4,1,125
24.9,58.54,1.4,2,105
24.9,58.54,1.4,3,95
24.9,58.54,1.4,4,92
24.9,58.54,1.4,5,136
24.9,58.54,1.4,6,122
24.9,58.54,1.4,7,84
24.9,58.54,1.4,8,154
24.9,58.54,1.4,9,157
24.9,58.54,1.4,10,105
84.6,53.17,2.17,1,185
84.6,53.17,2.17,2,157
84.6,53.17,2.17,3,134
84.6,53.17,2.17,4,134
84.6,53.17,2.17,5,196
84.6,53.17,2.17,6,174
84.6,53.17,2.17,7,118
84.6,53.17,2.17,8,220
84.6,53.17,2.17,9,230
84.6,53.17,2.17,10,156
51.7,24.74,2.17,1,178
51.7,24.74,2.17,2,149
51.7,24.74,2.17,3,127
51.7,24.74,2.17,4,140
51.7,24.74,2.17,5,188
51.7,24.74,2.17,6,175
51.7,24.74,2.17,7,115
51.7,24.74,2.17,8,211
51.7,24.74,2.17,9,232
51.7,24.74,2.17,10,154
57.7,57.77,4.28,1,136
57.7,57.77,4.28,2,119
57.7,57.77,4.28,3,104
57.7,57.77,4.28,4,102
57.7,57.77,4.28,5,143
57.7,57.77,4.28,6,131
57.7,57.77,4.28,7,92
57.7,57.77,4.28,8,162
57.7,57.77,4.28,9,176
57.7,57.77,4.28,10,115
42.7,10.79,2.26,1,188
42.7,10.79,2.26,2,153
42.7,10.79,2.26,3,130
42.7,10.79,2.26,4,141
42.7,10.79,2.26,5,190
42.7,10.79,2.26,6,182
42.7,10.79,2.26,7,124
42.7,10.79,2.26,8,219
42.7,10.79,2.26,9,235
42.7,10.79,2.26,10,149
56.6,59.21,3.16,1,141
56.6,59.21,3.16,2,127
56.6,59.21,3.16,3,101
56.6,59.21,3.16,4,110
56.6,59.21,3.16,5,146
56.6,59.21,3.16,6,139
56.6,59.21,3.16,7,97
56.6,59.21,3.16,8,166
56.6,59.21,3.16,9,176
56.6,59.21,3.16,10,117
79.9,28.38,3.04,1,205
79.9,28.38,3.04,2,169
79.9,28.38,3.04,3,150
79.9,28.38,3.04,4,155
79.9,28.38,3.04,5,205
79.9,28.38,3.04,6,199
79.9,28.38,3.04,7,133
79.9,28.38,3.04,8,236
79.9,28.38,3.04,9,251
79.9,28.38,3.04,10,168
29.4,48.98,3.71,1,129
29.4,48.98,3.71,2,103
29.4,48.98,3.71,3,91
29.4,48.98,3.71,4,89
29.4,48.98,3.71,5,136
29.4,48.98,3.71,6,127
29.4,48.98,3.71,7,85
29.4,48.98,3.71,8,144
29.4,48.98,3.71,9,164
29.4,48.98,3.71,10,104
59.3,37.24,3.58,1,172
59.3,37.24,3.58,2,137
59.3,37.24,3.58,3,120
59.3,37.24,3.58,4,129
59.3,37.24,3.58,5,174
59.3,37.24,3.58,6,166
59.3,37.24,3.58,7,113
59.3,37.24,3.58,8,199
59.3,37.24,3.58,9,209
59.3,37.24,3.58,10,133
11.1,4.38,3.45,1,140
11.1,4.38,3.45,2,125
11.1,4.38,3.45,3,101
11.1,4.38,3.45,4,105
11.1,4.38,3.45,5,154
11.1,4.38,3.45,6,139
11.1,4.38,3.45,7,98
11.1,4.38,3.45,8,172
11.1,4.38,3.45,9,180
11.1,4.38,3.45,10,121
63.7,38.07,0.7,1,193
63.7,38.07,0.7,2,160
63.7,38.07,0.7,3,141
63.7,38.07,0.7,4,149
63.7,38.07,0.7,5,196
63.7,38.07,0.7,6,192
63.7,38.07,0.7,7,121
63.7,38.07,0.7,8,231
63.7,38.07,0.7,9,239
63.7,38.07,0.7,10,160
55.7,7.97,2.49,1,201
55.7,7.97,2.49,2,174
55.7,7.97,2.49,3,143
55.7,7.97,2.49,4,147
55.7,7.97,2.49,5,208
55.7,7.97,2.49,6,199
55.7,7.97,2.49,7,129
55.7,7.97,2.49,8,238
55.7,7.97,2.49,9,248
55.7,7.97,2.49,10,161
83.5,3.05,4.72,1,223
83.5,3.05,4.72,2,188
83.5,3.05,4.72,3,162
83.5,3.05,4.72,4,158
83.5,3.05,4.72,5,229
83.5,3.05,4.72,6,208
83.5,3.05,4.72,7,148
83.5,3.05,4.72,8,257
83.5,3.05,4.72,9,277
83.5,3.05,4.72,10,177
81.7,41.56,3.07,1,192
81.7,41.56,3.07,2,162
81.7,41.56,3.07,3,135
81.7,41.56,3.07,4,142
81.7,41.56,3.07,5,192
81.7,41.56,3.07,6,180
81.7,41.56,3.07,7,121
81.7,41.56,3.07,8,224
81.7,41.56,3.07,9,238
81.7,41.56,3.07,10,159
25.5,11.44,3.35,1,159
25.5,11.44,3.35,2,130
25.5,11.44,3.35,3,109
25.5,11.44,3.35,4,121
25.5,11.44,3.35,5,165
25.5,11.44,3.35,6,147
25.5,11.44,3.35,7,98
25.5,11.44,3.35,8,187
25.5,11.44,3.35,9,200
25.5,11.44,3.35,10,123
26.7,4.39,2.34,1,168
26.7,4.39,2.34,2,147
26.7,4.39,2.34,3,120
26.7,4.39,2.34,4,130
26.7,4.39,2.34,5,174
26.7,4.39,2.34,6,161
26.7,4.39,2.34,7,116
26.7,4.39,2.34,8,199
26.7,4.39,2.34,9,216
26.7,4.39,2.34,10,136
62.3,59.39,3.14,1,155
62.3,59.39,3.14,2,122
62.3,59.39,3.14,3,110
62.3,59.39,3.14,4,112
62.3,59.39,3.14,5,157
62.3,59.39,3.14,6,148
62.3,59.39,3.14,7,101
62.3,59.39,3.14,8,177
62.3,59.39,3.14,9,186
62.3,59.39,3.14,10,127
32.8,4.59,1.06,1,186
32.8,4.59,1.06,2,159
32.8,4.59,1.06,3,140
32.8,4.59,1.06,4,141
32.8,4.59,1.06,5,194
32.8,4.59,1.06,6,186
32.8,4.59,1.06,7,121
32.8,4.59,1.06,8,222
32.8,4.59,1.06,9,232
32.8,4.59,1.06,10,154
73.3,19.7,3.31,1,207
73.3,19.7,3.31,2,173
73.3,19.7,3.31,3,147
73.3,19.7,3.31,4,146
73.3,19.7,3.31,5,205
73.3,19.7,3.31,6,192
73.3,19.7,3.31,7,130
73.3,19.7,3.31,8,243
73.3,19.7,3.31,9,250
73.3,19.7,3.31,10,162
95.2,21.98,3.44,1,223
95.2,21.98,3.44,2,192
95.2,21.98,3.44,3,155
95.2,21.98,3.44,4,160
95.2,21.98,3.44,5,226
95.2,21.98,3.44,6,220
95.2,21.98,3.44,7,147
95.2,21.98,3.44,8,266
95.2,21.98,3.44,9,279
95.2,21.98,3.44,10,187
16.2,6.42,0.04,1,174
16.2,6.42,0.04,2,150
16.2,6.42,0.04,3,123
16.2,6.42,0.04,4,130
16.2,6.42,0.04,5,175
16.2,6.42,0.04,6,163
16.2,6.42,0.04,7,118
16.2,6.42,0.04,8,205
16.2,6.42,0.04,9,220
16.2,6.42,0.04,10,146
45.2,19.82,4.21,1,161
45.2,19.82,4.21,2,141
45.2,19.82,4.21,3,116
45.2,19.82,4.21,4,127
45.2,19.82,4.21,5,176
45.2,19.82,4.21,6,158
45.2,19.82,4.21,7,105
45.2,19.82,4.21,8,189
45.2,19.82,4.21,9,206
45.2,19.82,4.21,10,134
85.5,17.03,3.11,1,216
85.5,17.03,3.11,2,182
85.5,17.03,3.11,3,157
85.5,17.03,3.11,4,166
85.5,17.03,3.11,5,233
85.5,17.03,3.11,6,217
85.5,17.03,3.11,7,140
85.5,17.03,3.11,8,261
85.5,17.03,3.11,9,273
85.5,17.03,3.11,10,185
29.5,36.4,3.63,1,139
29.5,36.4,3.63,2,114
29.5,36.4,3.63,3,97
29.5,36.4,3.63,4,99
29.5,36.4,3.63,5,145
29.5,36.4,3.63,6,131
29.5,36.4,3.63,7,85
29.5,36.4,3.63,8,160
29.5,36.4,3.63,9,173
29.5,36.4,3.63,10,113
94.4,9.2,2.44,1,245
94.4,9.2,2.44,2,213
94.4,9.2,2.44,3,179
94.4,9.2,2.44,4,182
94.4,9.2,2.44,5,263
94.4,9.2,2.44,6,240
94.4,9.2,2.44,7,162
94.4,9.2,2.44,8,295
94.4,9.2,2.44,9,313
94.4,9.2,2.44,10,205
52.9,23.13,3.63,1,175
52.9,23.13,3.63,2,150
52.9,23.13,3.63,3,125
52.9,23.13,3.63,4,134
52.9,23.13,3.63,5,177
52.9,23.13,3.63,6,163
52.9,23.13,3.63,7,112
52.9,23.13,3.63,8,201
52.9,23.13,3.63,9,221
52.9,23.13,3.63,10,144
22.5,56.64,0.14,1,138
22.5,56.64,0.14,2,112
22.5,56.64,0.14,3,101
22.5,56.64,0.14,4,102
22.5,56.64,0.14,5,136
22.5,56.64,0.14,6,127
22.5,56.64,0.14,7,89
22.5,56.64,0.14,8,155
22.5,56.64,0.14,9,167
22.5,56.64,0.14,10,107
91.1,54.62,2.41,1,186
91.1,54.62,2.41,2,162
91.1,54.62,2.41,3,136
91.1,54.62,2.41,4,143
91.1,54.62,2.41,5,189
91.1,54.62,2.41,6,182
91.1,54.62,2.41,7,121
91.1,54.62,2.41,8,217
91.1,54.62,2.41,9,236
91.1,54.62,2.41,10,157
58.8,31.21,3.83,1,171
58.8,31.21,3.83,2,147
58.8,31.21,3.83,3,120
58.8,31.21,3.83,4,129
58.8,31.21,3.83,5,172
58.8,31.21,3.83,6,164
58.8,31.21,3.83,7,114
58.8,31.21,3.83,8,202
58.8,31.21,3.83,9,209
58.8,31.21,3.83,10,144
76.6,29.52,4.6,1,180
76.6,29.52,4.6,2,155
76.6,29.52,4.6,3,129
76.6,29.52,4.6,4,136
76.6,29.52,4.6,5,186
76.6,29.52,4.6,6,180
76.6,29.52,4.6,7,122
76.6,29.52,4.6,8,213
76.6,29.52,4.6,9,234
76.6,29.52,4.6,10,147
25.1,31.18,0.73,1,162
25.1,31.18,0.73,2,133
25.1,31.18,0.73,3,117
25.1,31.18,0.73,4,113
25.1,31.18,0.73,5,165
25.1,31.18,0.73,6,155
25.1,31.18,0.73,7,97
25.1,31.18,0.73,8,180
25.1,31.18,0.73,9,191
25.1,31.18,0.73,10,127
85.9,38.02,0.36,1,218
85.9,38.02,0.36,2,187
85.9,38.02,0.36,3,158
85.9,38.02,0.36,4,169
85.9,38.02,0.36,5,232
85.9,38.02,0.36,6,210
85.9,38.02,0.36,7,148
85.9,38.02,0.36,8,256
85.9,38.02,0.36,9,277
85.9,38.02,0.36,10,181
49.5,10.32,0.77,1,206
49.5,10.32,0.77,2,172
49.5,10.32,0.77,3,152
49.5,10.32,0.77,4,153
49.5,10.32,0.77,5,215
49.5,10.32,0.77,6,200
49.5,10.32,0.77,7,139
49.5,10.32,0.77,8,241
49.5,10.32,0.77,9,255
49.5,10.32,0.77,10,172
47.9,31.5,2.59,1,173
47.9,31.5,2.59,2,141
47.9,31.5,2.59,3,125
47.9,31.5,2.59,4,122
47.9,31.5,2.59,5,171
47.9,31.5,2.59,6,165
47.9,31.5,2.59,7,115
47.9,31.5,2.59,8,203
47.9,31.5,2.59,9,207
47.9,31.5,2.59,10,139
20.8,19.67,0.51,1,167
20.8,19.67,0.51,2,142
20.8,19.67,0.51,3,118
20.8,19.67,0.51,4,123
20.8,19.67,0.51,5,171
20.8,19.67,0.51,6,160
20.8,19.67,0.51,7,110
20.8,19.67,0.51,8,196
20.8,19.67,0.51,9,204
20.8,19.67,0.51,10,133
44.1,29.91,4.95,1,146
44.1,29.91,4.95,2,125
44.1,29.91,4.95,3,103
44.1,29.91,4.95,4,116
44.1,29.91,4.95,5,150
44.1,29.91,4.95,6,139
44.1,29.91,4.95,7,98
44.1,29.91,4.95,8,170
44.1,29.91,4.95,9,191
44.1,29.91,4.95,10,117
31.5,29.06,1.2,1,168
31.5,29.06,1.2,2,141
31.5,29.06,1.2,3,121
31.5,29.06,1.2,4,121
31.5,29.06,1.2,5,173
31.5,29.06,1.2,6,162
31.5,29.06,1.2,7,110
31.5,29.06,1.2,8,193
31.5,29.06,1.2,9,201
31.5,29.06,1.2,10,139
60.5,50.27,2.52,1,166
60.5,50.27,2.52,2,139
60.5,50.27,2.52,3,115
60.5,50.27,2.52,4,116
60.5,50.27,2.52,5,166
60.5,50.27,2.52,6,160
60.5,50.27,2.52,7,104
60.5,50.27,2.52,8,191
60.5,50.27,2.52,9,203
60.5,50.27,2.52,10,138
98.2,26.21,0.04,1,251
98.2,26.21,0.04,2,217
98.2,26.21,0.04,3,184
98.2,26.21,0.04,4,191
98.2,26.21,0.04,5,267
98.2,26.21,0.04,6,250
98.2,26.21,0.04,7,162
98.2,26.21,0.04,8,300
98.2,26.21,0.04,9,318
98.2,26.21,0.04,10,210
74.0,45.82,0.42,1,200
74.0,45.82,0.42,2,163
74.0,45.82,0.42,3,136
74.0,45.82,0.42,4,147
74.0,45.82,0.42,5,202
74.0,45.82,0.42,6,190
74.0,45.82,0.42,7,129
74.0,45.82,0.42,8,236
74.0,45.82,0.42,9,245
74.0,45.82,0.42,10,160
44.9,33.91,4.64,1,143
44.9,33.91,4.64,2,128
44.9,33.91,4.64,3,108
44.9,33.91,4.64,4,115
44.9,33.91,4.64,5,149
44.9,33.91,4.64,6,145
44.9,33.91,4.64,7,95
44.9,33.91,4.64,8,179
44.9,33.91,4.64,9,186
44.9,33.91,4.64,10,126
83.3,40.39,1.64,1,199
83.3,40.39,1.64,2,174
83.3,40.39,1.64,3,144
83.3,40.39,1.64,4,148
83.3,40.39,1.64,5,210
83.3,40.39,1.64,6,201
83.3,40.39,1.64,7,128
83.3,40.39,1.64,8,243
83.3,40.39,1.64,9,253
83.3,40.39,1.64,10,167
72.9,22.47,0.04,1,228
72.9,22.47,0.04,2,190
72.9,22.47,0.04,3,168
72.9,22.47,0.04,4,168
72.9,22.47,0.04,5,234
72.9,22.47,0.04,6,225
72.9,22.47,0.04,7,146
72.9,22.47,0.04,8,268
72.9,22.47,0.04,9,291
72.9,22.47,0.04,10,193
68.3,36.67,2.35,1,182
68.3,36.67,2.35,2,153
68.3,36.67,2.35,3,130
68.3,36.67,2.35,4,141
68.3,36.67,2.35,5,197
68.3,36.67,2.35,6,177
68.3,36.67,2.35,7,122
68.3,36.67,2.35,8,215
68.3,36.67,2.35,9,228
68.3,36.67,2.35,10,158
13.1,8.62,4.15,1,142
13.1,8.62,4.15,2,116
13.1,8.62,4.15,3,103
13.1,8.62,4.15,4,107
13.1,8.62,4.15,5,147
13.1,8.62,4.15,6,133
13.1,8.62,4.15,7,91
13.1,8.62,4.15,8,167
13.1,8.62,4.15,9,174
13.1,8.62,4.15,10,119
16.8,19.5,3.58,1,139
16.8,19.5,3.58,2,117
16.8,19.5,3.58,3,95
16.8,19.5,3.58,4,106
16.8,19.5,3.58,5,148
16.8,19.5,3.58,6,137
16.8,19.5,3.58,7,95
16.8,19.5,3.58,8,161
16.8,19.5,3.58,9,169
16.8,19.5,3.58,10,114
39.3,56.12,5.0,1,126
39.3,56.12,5.0,2,105
39.3,56.12,5.0,3,82
39.3,56.12,5.0,4,86
39.3,56.12,5.0,5,129
39.3,56.12,5.0,6,123
39.3,56.12,5.0,7,84
39.3,56.12,5.0,8,143
39.3,56.12,5.0,9,157
39.3,56.12,5.0,10,96
77.4,49.42,2.67,1,180
77.4,49.42,2.67,2,153
77.4,49.42,2.67,3,132
77.4,49.42,2.67,4,128
77.4,49.42,2.67,5,189
77.4,49.42,2.67,6,172
77.4,49.42,2.67,7,113
77.4,49.42,2.67,8,209
77.4,49.42,2.67,9,223
77.4,49.42,2.67,10,146
76.8,39.01,0.59,1,206
76.8,39.01,0.59,2,170
76.8,39.01,0.59,3,152
76.8,39.01,0.59,4,159
76.8,39.01,0.59,5,211
76.8,39.01,0.59,6,196
76.8,39.01,0.59,7,141
76.8,39.01,0.59,8,247
76.8,39.01,0.59,9,262
76.8,39.01,0.59,10,175
55.0,42.56,2.26,1,172
55.0,42.56,2.26,2,142
55.0,42.56,2.26,3,123
55.0,42.56,2.26,4,129
55.0,42.56,2.26,5,169
55.0,42.56,2.26,6,159
55.0,42.56,2.26,7,110
55.0,42.56,2.26,8,200
55.0,42.56,2.26,9,214
55.0,42.56,2.26,10,141
96.2,39.8,0.57,1,229
96.2,39.8,0.57,2,191
96.2,39.8,0.57,3,168
96.2,39.8,0.57,4,167
96.2,39.8,0.57,5,240
96.2,39.8,0.57,6,217
96.2,39.8,0.57,7,145
96.2,39.8,0.57,8,272
96.2,39.8,0.57,9,281
96.2,39.8,0.57,10,183
97.9,32.0,4.62,1,202
97.9,32.0,4.62,2,169
97.9,32.0,4.62,3,143
97.9,32.0,4.62,4,153
97.9,32.0,4.62,5,204
97.9,32.0,4.62,6,196
97.9,32.0,4.62,7,134
97.9,32.0,4.62,8,235
97.9,32.0,4.62,9,247
97.9,32.0,4.62,10,164
71.8,57.13,1.07,1,179
71.8,57.13,1.07,2,148
71.8,57.13,1.07,3,129
71.8,57.13,1.07,4,132
71.8,57.13,1.07,5,186
71.8,57.13,1.07,6,173
71.8,57.13,1.07,7,111
71.8,57.13,1.07,8,205
71.8,57.13,1.07,9,214
71.8,57.13,1.07,10,145
41.0,59.48,4.57,1,123
41.0,59.48,4.57,2,101
41.0,59.48,4.57,3,88
41.0,59.48,4.57,4,86
41.0,59.48,4.57,5,131
41.0,59.48,4.57,6,116
41.0,59.48,4.57,7,75
41.0,59.48,4.57,8,148
41.0,59.48,4.57,9,149
41.0,59.48,4.57,10,106
59.5,11.22,3.27,1,198
59.5,11.22,3.27,2,165
59.5,11.22,3.27,3,143
59.5,11.22,3.27,4,145
59.5,11.22,3.27,5,202
59.5,11.22,3.27,6,195
59.5,11.22,3.27,7,127
59.5,11.22,3.27,8,231
59.5,11.22,3.27,9,243
59.5,11.22,3.27,10,157
56.9,19.51,2.48,1,192
56.9,19.51,2.48,2,159
56.9,19.51,2.48,3,139
56.9,19.51,2.48,4,147
56.9,19.51,2.48,5,197
56.9,19.51,2.48,6,187
56.9,19.51,2.48,7,125
56.9,19.51,2.48,8,229
56.9,19.51,2.48,9,240
56.9,19.51,2.48,10,154
20.8,44.04,3.18,1,128
20.8,44.04,3.18,2,103
20.8,44.04,3.18,3,92
20.8,44.04,3.18,4,94
20.8,44.04,3.18,5,128
20.8,44.04,3.18,6,118
20.8,44.04,3.18,7,82
20.8,44.04,3.18,8,147
20.8,44.04,3.18,9,156
20.8,44.04,3.18,10,99
14.7,11.92,2.54,1,147
14.7,11.92,2.54,2,130
14.7,11.92,2.54,3,108
14.7,11.92,2.54,4,108
14.7,11.92,2.54,5,153
14.7,11.92,2.54,6,142
14.7,11.92,2.54,7,99
14.7,11.92,2.54,8,171
14.7,11.92,2.54,9,182
14.7,11.92,2.54,10,119
72.5,0.05,2.28,1,231
72.5,0.05,2.28,2,201
72.5,0.05,2.28,3,169
72.5,0.05,2.28,4,172
72.5,0.05,2.28,5,241
72.5,0.05,2.28,6,231
72.5,0.05,2.28,7,150
72.5,0.05,2.28,8,280
72.5,0.05,2.28,9,298
72.5,0.05,2.28,10,188
49.3,42.86,2.94,1,161
49.3,42.86,2.94,2,133
49.3,42.86,2.94,3,110
49.3,42.86,2.94,4,115
49.3,42.86,2.94,5,157
49.3,42.86,2.94,6,147
49.3,42.86,2.94,7,98
49.3,42.86,2.94,8,187
49.3,42.86,2.94,9,197
49.3,42.86,2.94,10,133
22.7,0.91,4.28,1,150
22.7,0.91,4.28,2,131
22.7,0.91,4.28,3,116
22.7,0.91,4.28,4,110
22.7,0.91,4.28,5,162
22.7,0.91,4.28,6,145
22.7,0.91,4.28,7,104
22.7,0.91,4.28,8,181
22.7,0.91,4.28,9,199
22.7,0.91,4.28,10,122
14.1,27.18,1.38,1,141
14.1,27.18,1.38,2,118
14.1,27.18,1.38,3,98
14.1,27.18,1.38,4,107
14.1,27.18,1.38,5,153
14.1,27.18,1.38,6,138
14.1,27.18,1.38,7,95
14.1,27.18,1.38,8,172
14.1,27.18,1.38,9,180
14.1,27.18,1.38,10,117
30.0,9.34,4.92,1,147
30.0,9.34,4.92,2,131
30.0,9.34,4.92,3,105
30.0,9.34,4.92,4,110
30.0,9.34,4.92,5,153
30.0,9.34,4.92,6,146
30.0,9.34,4.92,7,100
30.0,9.34,4.92,8,173
30.0,9.34,4.92,9,189
30.0,9.34,4.92,10,122
65.5,26.82,1.49,1,205
65.5,26.82,1.49,2,168
65.5,26.82,1.49,3,148
65.5,26.82,1.49,4,154
65.5,26.82,1.49,5,211
65.5,26.82,1.49,6,191
65.5,26.82,1.49,7,127
65.5,26.82,1.49,8,242
65.5,26.82,1.49,9,253
65.5,26.82,1.49,10,165
24.7,56.16,4.84,1,109
24.7,56.16,4.84,2,94
24.7,56.16,4.84,3,75
24.7,56.16,4.84,4,81
24.7,56.16,4.84,5,117
24.7,56.16,4.84,6,105
24.7,56.16,4.84,7,74
24.7,56.16,4.84,8,131
24.7,56.16,4.84,9,133
24.7,56.16,4.84,10,90
27.3,21.39,1.97,1,156
27.3,21.39,1.97,2,131
27.3,21.39,1.97,3,113
27.3,21.39,1.97,4,121
27.3,21.39,1.97,5,161
27.3,21.39,1.97,6,154
27.3,21.39,1.97,7,100
27.3,21.39,1.97,8,189
27.3,21.39,1.97,9,203
27.3,21.39,1.97,10,130
42.9,40.12,2.03,1,162
42.9,40.12,2.03,2,134
42.9,40.12,2.03,3,111
42.9,40.12,2.03,4,122
42.9,40.12,2.03,5,160
42.9,40.12,2.03,6,154
42.9,40.12,2.03,7,104
42.9,40.12,2.03,8,185
42.9,40.12,2.03,9,195
42.9,40.12,2.03,10,128
93.0,19.27,4.61,1,210
93.0,19.27,4.61,2,174
93.0,19.27,4.61,3,148
93.0,19.27,4.61,4,160
93.0,19.27,4.61,5,214
93.0,19.27,4.61,6,206
93.0,19.27,4.61,7,135
93.0,19.27,4.61,8,247
93.0,19.27,4.61,9,262
93.0,19.27,4.61,10,170
22.1,27.79,4.88,1,133
22.1,27.79,4.88,2,113
22.1,27.79,4.88,3,96
22.1,27.79,4.88,4,96
22.1,27.79,4.88,5,139
22.1,27.79,4.88,6,120
22.1,27.79,4.88,7,87
22.1,27.79,4.88,8,154
22.1,27.79,4.88,9,162
22.1,27.79,4.88,10,107
69.0,11.58,4.43,1,200
69.0,11.58,4.43,2,166
69.0,11.58,4.43,3,142
69.0,11.58,4.43,4,147
69.0,11.58,4.43,5,209
69.0,11.58,4.43,6,189
69.0,11.58,4.43,7,124
69.0,11.58,4.43,8,228
69.0,11.58,4.43,9,248
69.0,11.58,4.43,10,165
98.4,10.29,0.77,1,271
98.4,10.29,0.77,2,223
98.4,10.29,0.77,3,193
98.4,10.29,0.77,4,196
98.4,10.29,0.77,5,284
98.4,10.29,0.77,6,258
98.4,10.29,0.77,7,177
98.4,10.29,0.77,8,320
98.4,10.29,0.77,9,336
98.4,10.29,0.77,10,225
90.8,25.25,3.19,1,218
90.8,25.25,3.19,2,181
90.8,25.25,3.19,3,155
90.8,25.25,3.19,4,166
90.8,25.25,3.19,5,224
90.8,25.25,3.19,6,207
90.8,25.25,3.19,7,137
90.8,25.25,3.19,8,249
90.8,25.25,3.19,9,274
90.8,25.25,3.19,10,175
57.2,44.66,0.61,1,175
57.2,44.66,0.61,2,149
57.2,44.66,0.61,3,129
57.2,44.66,0.61,4,138
57.2,44.66,0.61,5,184
57.2,44.66,0.61,6,177
57.2,44.66,0.61,7,115
57.2,44.66,0.61,8,206
57.2,44.66,0.61,9,227
57.2,44.66,0.61,10,152
80.9,21.55,0.47,1,237
80.9,21.55,0.47,2,196
80.9,21.55,0.47,3,172
80.9,21.55,0.47,4,177
80.9,21.55,0.47,5,250
80.9,21.55,0.47,6,225
80.9,21.55,0.47,7,158
80.9,21.55,0.47,8,272
80.9,21.55,0.47,9,290
80.9,21.55,0.47,10,195
41.3,37.68,4.86,1,135
41.3,37.68,4.86,2,112
41.3,37.68,4.86,3,98
41.3,37.68,4.86,4,107
41.3,37.68,4.86,5,141
41.3,37.68,4.86,6,136
41.3,37.68,4.86,7,96
41.3,37.68,4.86,8,163
41.3,37.68,4.86,9,173
41.3,37.68,4.86,10,111
38.9,38.09,1.45,1,158
38.9,38.09,1.45,2,132
38.9,38.09,1.45,3,111
38.9,38.09,1.45,4,116
38.9,38.09,1.45,5,169
38.9,38.09,1.45,6,152
38.9,38.09,1.45,7,101
38.9,38.09,1.45,8,186
38.9,38.09,1.45,9,196
38.9,38.09,1.45,10,127
97.5,15.65,3.22,1,234
97.5,15.65,3.22,2,202
97.5,15.65,3.22,3,173
97.5,15.65,3.22,4,170
97.5,15.65,3.22,5,247
97.5,15.65,3.22,6,226
97.5,15.65,3.22,7,151
97.5,15.65,3.22,8,276
97.5,15.65,3.22,9,292
97.5,15.65,3.22,10,188
89.6,46.87,2.22,1,202
89.6,46.87,2.22,2,164
89.6,46.87,2.22,3,144
89.6,46.87,2.22,4,142
89.6,46.87,2.22,5,206
89.6,46.87,2.22,6,188
89.6,46.87,2.22,7,124
89.6,46.87,2.22,8,234
89.6,46.87,2.22,9,242
89.6,46.87,2.22,10,157
86.0,34.81,4.29,1,194
86.0,34.81,4.29,2,162
86.0,34.81,4.29,3,140
86.0,34.81,4.29,4,142
86.0,34.81,4.29,5,198
86.0,34.81,4.29,6,188
86.0,34.81,4.29,7,122
86.0,34.81,4.29,8,224
86.0,34.81,4.29,9,242
86.0,34.81,4.29,10,157
14.0,21.2,2.04,1,148
14.0,21.2,2.04,2,122
14.0,21.2,2.04,3,99
14.0,21.2,2.04,4,105
14.0,21.2,2.04,5,150
14.0,21.2,2.04,6,141
14.0,21.2,2.04,7,91
14.0,21.2,2.04,8,173
14.0,21.2,2.04,9,183
14.0,21.2,2.04,10,123
17.2,6.52,1.85,1,158
17.2,6.52,1.85,2,136
17.2,6.52,1.85,3,121
17.2,6.52,1.85,4,117
17.2,6.52,1.85,5,166
17.2,6.52,1.85,6,161
17.2,6.52,1.85,7,105
17.2,6.52,1.85,8,187
17.2,6.52,1.85,9,206
17.2,6.52,1.85,10,134
33.1,43.64,3.61,1,139
33.1,43.64,3.61,2,116
33.1,43.64,3.61,3,100
33.1,43.64,3.61,4,96
33.1,43.64,3.61,5,139
33.1,43.64,3.61,6,135
33.1,43.64,3.61,7,88
33.1,43.64,3.61,8,154
33.1,43.64,3.61,9,164
33.1,43.64,3.61,10,113
94.4,3.31,0.97,1,276
94.4,3.31,0.97,2,226
94.4,3.31,0.97,3,193
94.4,3.31,0.97,4,201
94.4,3.31,0.97,5,285
94.4,3.31,0.97,6,267
94.4,3.31,0.97,7,174
94.4,3.31,0.97,8,325
94.4,3.31,0.97,9,342
94.4,3.31,0.97,10,219
95.4,9.39,1.37,1,262
95.4,9.39,1.37,2,214
95.4,9.39,1.37,3,184
95.4,9.39,1.37,4,189
95.4,9.39,1.37,5,273
95.4,9.39,1.37,6,255
95.4,9.39,1.37,7,172
95.4,9.39,1.37,8,304
95.4,9.39,1.37,9,322
95.4,9.39,1.37,10,214
60.4,18.66,2.87,1,197
60.4,18.66,2.87,2,165
60.4,18.66,2.87,3,140
60.4,18.66,2.87,4,141
60.4,18.66,2.87,5,204
60.4,18.66,2.87,6,185
60.4,18.66,2.87,7,128
60.4,18.66,2.87,8,230
60.4,18.66,2.87,9,247
60.4,18.66,2.87,10,154
13.2,54.88,4.25,1,108
13.2,54.88,4.25,2,92
13.2,54.88,4.25,3,79
13.2,54.88,4.25,4,78
13.2,54.88,4.25,5,108
